,translate,zeta_media,citizen_dist,media_dist,repetition
1151,0,0.75,uniform,polarized,1
1152,0,0.75,uniform,polarized,2
1153,0,0.75,uniform,polarized,3
1154,0,0.75,uniform,polarized,4
1155,0,1,uniform,polarized,0
1156,0,1,uniform,polarized,1
1157,0,1,uniform,polarized,2
1158,0,1,uniform,polarized,3
1159,0,1,uniform,polarized,4
1170,0,0.75,uniform,polarized,0
1171,0,0.75,uniform,polarized,1
1172,0,0.75,uniform,polarized,2
1173,0,0.75,uniform,polarized,3
1174,0,0.75,uniform,polarized,4
1175,0,1,uniform,polarized,0
1176,0,1,uniform,polarized,1
1177,0,1,uniform,polarized,2
1178,0,1,uniform,polarized,3
1179,0,1,uniform,polarized,4
1190,0,0.75,uniform,polarized,0
1191,0,0.75,uniform,polarized,1
1192,0,0.75,uniform,polarized,2
1193,0,0.75,uniform,polarized,3
1194,0,0.75,uniform,polarized,4
1195,0,1,uniform,polarized,0
1196,0,1,uniform,polarized,1
1197,0,1,uniform,polarized,2
1198,0,1,uniform,polarized,3
1199,0,1,uniform,polarized,4
1210,0,0.75,normal,uniform,0
1211,0,0.75,normal,uniform,1
1212,0,0.75,normal,uniform,2
1213,0,0.75,normal,uniform,3
1214,0,0.75,normal,uniform,4
1215,0,1,normal,uniform,0
1216,0,1,normal,uniform,1
1217,0,1,normal,uniform,2
1218,0,1,normal,uniform,3
1219,0,1,normal,uniform,4
1229,0,0.5,normal,uniform,4
1230,0,0.75,normal,uniform,0
1231,0,0.75,normal,uniform,1
1232,0,0.75,normal,uniform,2
1233,0,0.75,normal,uniform,3
1234,0,0.75,normal,uniform,4
1235,0,1,normal,uniform,0
1236,0,1,normal,uniform,1
1237,0,1,normal,uniform,2
1238,0,1,normal,uniform,3
1239,0,1,normal,uniform,4
1250,0,0.75,normal,uniform,0
1251,0,0.75,normal,uniform,1
1252,0,0.75,normal,uniform,2
1253,0,0.75,normal,uniform,3
1254,0,0.75,normal,uniform,4
1255,0,1,normal,uniform,0
1256,0,1,normal,uniform,1
1257,0,1,normal,uniform,2
1258,0,1,normal,uniform,3
1259,0,1,normal,uniform,4
1264,0,0.25,normal,uniform,4
1270,0,0.75,normal,uniform,0
1271,0,0.75,normal,uniform,1
1272,0,0.75,normal,uniform,2
1273,0,0.75,normal,uniform,3
1274,0,0.75,normal,uniform,4
1275,0,1,normal,uniform,0
1276,0,1,normal,uniform,1
1277,0,1,normal,uniform,2
1278,0,1,normal,uniform,3
1279,0,1,normal,uniform,4
1290,0,0.75,polarized,uniform,0
1291,0,0.75,polarized,uniform,1
1292,0,0.75,polarized,uniform,2
1293,0,0.75,polarized,uniform,3
1294,0,0.75,polarized,uniform,4
1295,0,1,polarized,uniform,0
1296,0,1,polarized,uniform,1
1297,0,1,polarized,uniform,2
1298,0,1,polarized,uniform,3
1299,0,1,polarized,uniform,4
1310,0,0.75,polarized,uniform,0
1311,0,0.75,polarized,uniform,1
1312,0,0.75,polarized,uniform,2
1313,0,0.75,polarized,uniform,3
1314,0,0.75,polarized,uniform,4
1315,0,1,polarized,uniform,0
1316,0,1,polarized,uniform,1
1317,0,1,polarized,uniform,2
1318,0,1,polarized,uniform,3
1319,0,1,polarized,uniform,4
1330,0,0.75,polarized,uniform,0
1331,0,0.75,polarized,uniform,1
1332,0,0.75,polarized,uniform,2
1333,0,0.75,polarized,uniform,3
1334,0,0.75,polarized,uniform,4
1335,0,1,polarized,uniform,0
1336,0,1,polarized,uniform,1
1337,0,1,polarized,uniform,2
1338,0,1,polarized,uniform,3
1339,0,1,polarized,uniform,4
1350,0,0.75,polarized,uniform,0
1351,0,0.75,polarized,uniform,1
1352,0,0.75,polarized,uniform,2
1353,0,0.75,polarized,uniform,3
1354,0,0.75,polarized,uniform,4
1355,0,1,polarized,uniform,0
1356,0,1,polarized,uniform,1
1357,0,1,polarized,uniform,2
1358,0,1,polarized,uniform,3
1359,0,1,polarized,uniform,4
1370,0,0.75,uniform,uniform,0
1371,0,0.75,uniform,uniform,1
